uf,valor desembolsado ,data do IDH,IDH
AC,"399925641,76",2013,0.7
AC,16838000,2014,0.724
AC,"227607729,88",2015,0.712
AC,"9688692,21",2016,0.729
AC,,2017,0.719
AL,"21801356,45",2013,0.664
AL,"400340210,03",2014,0.675
AL,"40354096,74",2015,0.67
AL,"24444242,57",2016,0.683
AL,,2017,0.683
AM,"269709937,22",2013,0.722
AM,"267950004,3",2014,0.73
AM,"260670201,88",2015,0.72
AM,"111150721,08",2016,0.716
AM,"43387708,19",2017,0.733
AP,"647250016,47",2013,0.742
AP,"901651677,62",2014,0.759
AP,"492978686,79",2015,0.729
AP,,2016,0.738
AP,,2017,0.74
BA,"4986843808,73",2013,0.702
BA,"4545936068,86",2014,0.71
BA,"2215862590,88",2015,0.706
BA,"3663720431,43",2016,0.709
BA,"761150278,22",2017,0.714
CE,"851738214,03",2013,0.713
CE,"1444943020,8",2014,0.72
CE,"2071152237,01",2015,0.716
CE,"3654500298,92",2016,0.726
CE,"817825154,92",2017,0.735
DF,"27086837,34",2013,0.842
DF,"4171716961,21",2014,0.849
DF,"4557878485,03",2015,0.847
DF,"6378431,32",2016,0.854
DF,,2017,0.85
ES,"2953926831,39",2013,0.763
ES,"133485078,5",2014,0.768
ES,"308672590,31",2015,0.77
ES,"1621006,49",2016,0.77
ES,"15426640,94",2017,0.772
GO,"1885695755,69",2013,0.766
GO,"508646896,86",2014,0.764
GO,"383959498,65",2015,0.769
GO,"389914076,53",2016,0.768
GO,"199815919,94",2017,0.769
MA,"1897457840,02",2013,0.682
MA,"4139401176,07",2014,0.695
MA,"3333946605,06",2015,0.692
MA,"266817420,82",2016,0.682
MA,,2017,0.687
MG,"6890890581,96",2013,0.76
MG,"1553823737,63",2014,0.766
MG,2953878852,2015,0.764
MG,"1501027358,94",2016,0.781
MG,"1101224351,54",2017,0.787
MS,"3573136869,45",2013,0.687
MS,"1030621271,31",2014,0.687
MS,"782585296,21",2015,0.764
MS,"292398451,24",2016,0.763
MS,"2924694917,48",2017,0.766
MT,"1991408029,16",2013,0.766
MT,"1870229462,99",2014,0.766
MT,"1096933777,18",2015,0.766
MT,"797627966,59",2016,0.766
MT,"2693255907,69",2017,0.766
PA,"19922731594,9",2013,0.686
PA,"405565161,6",2014,0.689
PA,"3035597396,39",2015,0.695
PA,"742841389,11",2016,0.693
PA,"487922967,65",2017,0.698
PB,"548196134,25",2013,0.702
PB,"768804204,99",2014,0.71
PB,"10319199,98",2015,0.717
PB,"5239073,76",2016,0.709
PB,,2017,0.722
PE,"3792636263,65",2013,0.711
PE,"1786553817,48",2014,0.718
PE,"2220621326,2",2015,0.715
PE,"2707611316,69",2016,0.73
PE,"381356047,15",2017,0.727
PI,"621054608,37",2013,0.686
PI,"207310971,69",2014,0.693
PI,"849073169,93",2015,0.691
PI,"1920840254,41",2016,0.69
PI,"291315915,86",2017,0.697
PR,"2188271463,46",2013,0.794
PR,"2819098386,91",2014,0.795
PR,"6442285781,03",2015,0.792
PR,"1440599613,69",2016,0.792
PR,"251818472,09",2017,0.792
RJ,"15241884677,15",2013,0.788
RJ,"13193710218,85",2014,0.791
RJ,"11443296208,43",2015,0.788
RJ,"5200277722,25",2016,0.794
RJ,"2766017204,98",2017,0.796
RN,"2051239177,75",2013,0.723
RN,"1525975261,43",2014,0.712
RN,"927427010,4",2015,0.718
RN,"1916261125,91",2016,0.736
RN,"256209674,42",2017,0.731
RO,"2348134501,99",2013,0.719
RO,"2000341852,98",2014,0.739
RO,"15897194,29",2015,0.732
RO,,2016,0.718
RO,,2017,0.725
RR,"3615906,06",2013,0.749
RR,"3075205,25",2017,0.752
RR,,2014,0.757
RR,,2015,0.765
RR,,2016,0.758
RS,"4563736066,55",2013,0.763
RS,"2078221504,78",2014,0.781
RS,"1967065108,14",2015,0.776
RS,"909009358,32",2016,0.783
RS,"859806980,31",2017,0.787
SC,"2989458596,52",2013,0.807
SC,"3564802698,72",2014,0.811
SC,"1497826339,18",2015,0.81
SC,"1239351719,3",2016,0.805
SC,"362269850,63",2017,0.808
SE,6000000,2013,0.71
SE,"227998630,99",2014,0.69
SE,,2015,0.69
SE,"203005735,85",2016,0.7
SE,,2017,0.702
SP,"11604743790,88",2013,0.817
SP,"14898237686,45",2014,0.821
SP,"14352250239,4",2015,0.817
SP,"7041645733,44",2016,0.831
SP,"1239673690,48",2017,0.826
TO,"17599010,06",2013,0.733
TO,"70805910,05",2014,0.744
TO,"16049428,2",2015,0.744
TO,"175096103,26",2016,0.737
TO,,2017,0.743
